,store,sido,gungu,store_address,_merge
36,세류대우점,경기도,수원시,경기 수원시 팔달구 매산로3가 111-9,both
37,수원곡선점,경기도,수원시,경기 수원시 권선구 권선동 1259-9,both
38,수원구운점,경기도,수원시,경기 수원시 권선구 구운동 530-2,both
39,수원권선점,경기도,수원시,경기 수원시 권선구 권선동 1049-12,both
40,수원꽃뫼마을점,경기도,수원시,경기 수원시 팔달구 화서2동 685-3 101호,both
41,수원당수점,경기도,수원시,경기 수원시 권선구 당수동    인정프린스 105호,both
42,수원망포점,경기도,수원시,경기 수원시 영통구 망포동 297-8 외1필지 가동 1층2호,both
43,수원성대점,경기도,수원시,경기 수원시 장안구 천천동 561-1 105호,both
44,수원영통벽적골점,경기도,수원시,경기 수원시 영통구 영통동 976-11,both
45,수원영통점,경기도,수원시,"경기 수원시 영통구 영일로  16-4(영통동,1층)",both
46,수원우만1점,경기도,수원시,경기 수원시 팔달구 우만동 522,both
47,수원율전점,경기도,수원시,경기 수원시 장안구 서부로  2126번길  27(율전동),both
48,수원정자행운점(cafe)(2),경기도,수원시,"경기도 수원시 장안구 정자천로189번길 40 (정자동,  분산상가동 101,102호",both
49,수원지동점,경기도,수원시,경기 수원시 팔달구 지동 144-7,both
50,수원천천점,경기도,수원시,경기 수원시 장안구 정자동 914 대림진흥상가 101호,both
51,수원한일타운점,경기도,수원시,경기 수원시 장안구 송죽동 73 현광프라자 103,both
52,수원화서2점,경기도,수원시,"경기도 수원시 팔달구 동말로25번길 96 (화서동,1층)",both
53,스타캐슬PC방점,경기도,수원시,경기 수원시 권선구 권선동 1038~1066 1052-8번지 2층(세권로181번길 20-3),both
54,신매탄점(2),경기도,수원시,"경기도 수원시 영통구 매탄로 142 (매탄동, 양성프라 102호",both
55,우만점,경기도,수원시,경기 수원시 팔달구 우만동 96-6,both
56,정자영화점,경기도,수원시,"경기도 수원시 장안구 장안로 52-1 (영화동, 음악자녀 1층",both
57,호매실수변공원점,경기도,수원시,경기도 수원시 권선구 서수원로523번길 12-18 (금곡동 1층,both
58,광교상현점,경기도,용인시,"경기도 용인시 수지구 법조로 242 (상현동,광교파크프 101, 201호",both
59,강남대점,경기도,용인시,"경기도 용인시 기흥구 강남동로 12 (구갈동) 108, 109호",both
60,성복점,경기도,용인시,"경기도 용인시 수지구 성복2로76번길 25-30 (성복동,  지하1층",both
61,용인동백점,경기도,용인시,경기도 용인시 기흥구 동백3로11번길 18 103호,both
62,용인동백호수점,경기도,용인시,경기 용인시 기흥구 동백동 619-3,both
63,용인마북점,경기도,용인시,"경기도 용인시 기흥구 마북로 159 (마북동, 한성프라 111호",both
64,용인보라점,경기도,용인시,"경기도 용인시 기흥구 한보라2로 5-5 (보라동) (보라동,B01호)",both
65,흥덕지구점,경기도,용인시,경기 용인시 기흥구 영덕동 974-7 미래도프라자 103호,both
66,용인동천유타워점,경기도,용인시,"경기도 용인시 수지구 신수로 767 (동천동, 분당수지U B동 A-125호",both
67,상현점,경기도,용인시,"경기도 용인시 수지구 수지로 70-1 (상현동, 동원한의 ",both
68,용인공세점,경기도,용인시,경기 용인시 기흥구 고매동 359 동성아파트 제상가동 102호,both
69,용인구갈점(express)(2),경기도,용인시,"경기도 용인시 기흥구 기흥로 18 (구갈동, 길부동산) ",both
70,용인구성점,경기도,용인시,경기 용인시 기흥구 마북동 409~475 475-1,both
71,용인둔전점,경기도,용인시,경기도 용인시 처인구 포곡읍 포곡로 82 (이바돔감자 1층,both
72,용인모현외대점,경기도,용인시,경기 용인시 처인구 모현면 왕산리 790-7 외 2필지,both
73,용인보정점,경기도,용인시,경기 용인시 기흥구 보정동 1266-6 현대휴먼프라자 106,both
74,용인삼가역점,경기도,용인시,경기도 용인시 처인구 지삼로 610 (삼가동) 제1층,both
75,용인상갈점,경기도,용인시,경기 용인시 기흥구 상갈동 485-1,both
76,용인상현행복점,경기도,용인시,"경기도 용인시 수지구 이현로 115 130(상현동,상현프라자)",both
77,용인서천점,경기도,용인시,경기도 용인시 기흥구 서천서로20번길 2 (서천동) 103호,both
78,용인송전점,경기도,용인시,경기도 용인시 처인구 이동면 경기동로687번길 3 재승빌딩1층제1호,both
79,용인신갈점,경기도,용인시,"경기도 용인시 기흥구 새천년로26번길 10 103(신갈동,반석프라자)",both
80,용인양지점,경기도,용인시,경기 용인시 처인구 양지면 양지리 573-5,both
81,용인언남점,경기도,용인시,경기도 용인시 기흥구 구성로 77번길 2(언남동),both
82,용인역북점,경기도,용인시,"경기 용인시 처인구 역북동 425-7, 1층",both
83,용인죽전새터점,경기도,용인시,"경기도 용인시 수지구 죽전로 253-3 (죽전동, 경혁프 (죽전동,상생프라자101,102호)",both
84,용인죽전점,경기도,용인시,경기 용인시 수지구 죽전동 1261 도담마을우미이노스빌 제상가동 102호,both
85,용인천리점,경기도,용인시,경기 용인시 처인구 이동면 천리 234-10,both
86,용인청덕점,경기도,용인시,"경기 용인시 기흥구 청덕동 250-1 호반베르디움상가 106,107호",both
87,용인풍덕천점,경기도,용인시,경기 용인시 풍덕천동 750번지,both
88,광주봉선점,광주광역시,남구,광주광역시 남구 봉선중앙로 3 ,both
89,효천스타점,광주광역시,남구,광주광역시 남구 효우2로26번길 14 (행암동) ,both
90,광주백운점,광주광역시,남구,"광주광역시 남구 백운로 91-2 (백운동) 104(백운동,1층)",both
91,광주진월점,광주광역시,남구,광주 남구 진월동 412-5번지,both
92,봉선제일점,광주광역시,남구,광주광역시 남구 봉선중앙로 57 ,both
93,진월효덕점,광주광역시,남구,광주광역시 남구 화산로31번길 23 (진월동) 1층 103호(효우빌딩),both
94,광주수완장덕점(P-cafe)(3),광주광역시,광산구,광주광역시 광산구 풍영로 277 (장덕동) 1층,both
95,광주송정점,광주광역시,광산구,광주광역시 광산구 광산로 5-1 (송정동) .,both
96,선운지구점,광주광역시,광산구,"광주 광산구 선운로20번길 60 (선암동, 1층)",both
97,광주수완신가점(올리브카페),광주광역시,광산구,"광주광역시 광산구 수등로76번길 15 (신가동, 스타빌) 1층",both
98,광주수완점,광주광역시,광산구,광주광역시 광산구 장신로 135 (수완동) 1층 109호,both
99,광주신창행운점,광주광역시,광산구,광주광역시 광산구 왕버들로251번길 14 (신창동) 1층,both
100,광주운남점,광주광역시,광산구,광주 광산구 운남동 목련로 153번길 31 1층,both
101,광주첨단금호점,광주광역시,광산구,광주 광산구 월계동 756-6 라인5차아파트 상가-101,both
102,광주첨단월계점,광주광역시,광산구,광주 광산구 월계동 813-9,both
103,광주하남점,광주광역시,광산구,광주광역시 광산구 하남대로54번안길 3 (하남동) ,both
104,광주치평본점,광주광역시,서구,"광주광역시 서구 상무자유로 173 치평동,1,2층",both
105,광주풍암점,광주광역시,서구,광주광역시 서구 풍암1로21번길 15-13 (풍암동) 1층,both
106,화정스타점,광주광역시,서구,광주 서구 화정동 1334 101호,both
107,광주금호점,광주광역시,서구,"광주광역시 서구 금화로115번길 25 (금호동, 한국2차 도시공사2단지상가동102호",both
108,광주마재점,광주광역시,서구,"광주광역시 서구 화개중앙로 55 (금호동,1층)",both
109,광주상무점,광주광역시,서구,"광주광역시 서구 상무중앙로 57 (치평동, 상무중흥S클 ",both
110,광주쌍촌점,광주광역시,서구,광주광역시 서구 내방로240번길 5 (쌍촌동) 1층,both
111,광주풍암점,광주광역시,서구,광주 서구 풍암동 1078-4,both
112,광주화정점,광주광역시,서구,광주광역시 서구 염화로 122 (화정동) 1층,both
113,교대본점,서울특별시,서초구,서울특별시 서초구 남부순환로 339길 63(서초동 1층),both
114,교대역점(올리브카페)(3),서울특별시,서초구,"서울특별시 서초구 서초중앙로24길 9 (서초동, 신우빌 1층 10호",both
115,방배본점,서울특별시,서초구,서울 서초구 방배1동 925-24,both
116,강남고속버스터미널점,서울특별시,서초구,"서울특별시 서초구 신반포로 194 강남고속버스터미널 (반포동,본관지층)",both
117,사당메트로점,서울특별시,서초구,서울특별시 서초구 방배천로 5-1 (방배동) 2층,both
118,양재주암점,서울특별시,서초구,서울특별시 서초구 매헌로 36 (양재로) 2층,both
119,내곡포레스타점,서울특별시,서초구,"서울특별시 서초구 청계산로7길 43 (신원동, 서초포레 101호",both
120,반포중앙점,서울특별시,서초구,"서울특별시 서초구 신반포로23길 41 (잠원동, 잠원상 121호 122호",both
121,방배이수점,서울특별시,서초구,서울특별시 서초구 도구로 93 (방배동) ,both
122,서초2점,서울특별시,서초구,서울 서초구 서초동 1510-15 1층 108호,both
123,서초3점,서울특별시,서초구,서울 서초구 서초동 1334 신동아상가 105호,both
124,서초점,서울특별시,서초구,서울 서초구 반포동 740-17 1층,both
125,서초타워점,서울특별시,서초구,"서울특별시 서초구 중앙로 582 (우면동) 101(우면동,서초타워)",both
126,우면점,서울특별시,서초구,서울 서초구 양재동 111-5 양촌빌딩 1층,both
127,잠원점(올리브카페),서울특별시,서초구,"서울특별시 서초구 나루터로 69 (잠원동, 샤르망) 104호",both
128,군산수송스타점,전라북도,군산시,전라북도 군산시 수송로 213 (수송동) 2층,both
129,군산나운행운점,전라북도,군산시,"전라북도 군산시 수송로 37 (나운동, 나뚜루) ",both
130,군산경암점(명변)(express),전라북도,군산시,"전북 군산시 대명동 대명길 3, 상가동 1층 107호",both
131,군산나운더하임점,전라북도,군산시,전북 군산시 나운동 1556 보람더하임상가 가동 103호,both
132,군산나운신도시점(express)(명변)(3),전라북도,군산시,전라북도 군산시 서수송2길 40 (나운동) 1층,both
133,군산나운지곡점,전라북도,군산시,전라북도 군산시 동지곡길 38 (지곡동),both
134,군산미룡점,전라북도,군산시,전북 군산시 미룡동 898-1,both
135,군산미장점,전라북도,군산시,"전북 군산시 미장남로 10, 1동 105호(미장아이파크상 ",both
136,군산산북소룡점,전라북도,군산시,전북 군산시 산북동 3536-5 ,both
137,군산수송점,전라북도,군산시,전북 군산시 삼학동 361-2번지,both
138,나주혁신점,전라남도,나주시,전라남도 나주시 상야2길 7 (빛가람동) 114(중흥S-클래스메가티움1차1층),both
139,전남나주시내점,전라남도,나주시,전라남도 나주시 중앙로 7 (남내동) ,both
140,전남남평점,전라남도,나주시,전라남도 나주시 남평읍 남평1로 10 ,both
141,빛가람점,전라남도,나주시,전라남도 나주시 그린로 193 (빛가람동) 1층 105호,both
142,남양주묵현점,경기도,남양주시,경기도 남양주시 화도읍 먹갓로28번길 14 ,both
143,호평역점,경기도,남양주시,경기 남양주시 호평동 658-3,both
144,별내점,경기도,남양주시,경기도 남양주시 별내5로5번길 51 (별내동) 1층,both
145,금곡점(cafe명변),경기도,남양주시,경기 남양주시 금곡동 430-34번지,both
146,남양주리코스타점(e-cafe)(명변),경기도,남양주시,경기도 남양주시 별내면 청학로68번길 3 (금강빌딩) 지층 1호,both
147,덕소점,경기도,남양주시,경기 남양주시 와부읍 덕소리 491-1,both
148,덕소진도점,경기도,남양주시,경기 남양주시 와부읍 덕소리 537-3번지 진도A 상가,both
149,마석행복점,경기도,남양주시,경기 남양주시 화도읍 마석우리 588번지 104호,both
150,부영점,경기도,남양주시,경기 남양주시 지금동 390-16번지  예전빌딩 1층,both
151,오남점,경기도,남양주시,경기도 남양주시 오남읍 진건오남로 698 105,both
152,진접택지점(cafe),경기도,남양주시,경기 남양주시 진접읍 금곡리 1081-1번지,both
153,평내1점,경기도,남양주시,"경기도 남양주시 평내로29번안길 34 ,101(평내동,모던빌)",both
154,논산점,충청남도,논산시,충청남도 논산시 중앙로 271 (취암동),both
155,논산중앙점,충청남도,논산시,충청남도 논산시 번영로17번길 10-11 (취암동) 1층 101호,both
156,대전둔산사학연금점,대전광역시,서구,대전광역시 서구 한밭대로 809 (둔산동) 1층,both
157,대전둔산점,대전광역시,서구,대전광역시 서구 둔산남로105번길 18 (둔산동) 102(둔산동),both
158,대전가장점,대전광역시,서구,"대전광역시 서구 도산로253번길 51 (내동) 내동,블루존상가106,107호",both
159,대전내동점,대전광역시,서구,대전광역시 서구 신갈마로 51 ,both
160,대전월평점(cafe),대전광역시,서구,대전 서구 월평동 227번지 1층,both
161,대전갈마점,대전광역시,서구,대전 서구 갈마동 1392 1층,both
162,대전관저느리울점,대전광역시,서구,대전광역시 서구 구봉로 139 (관저동) ,both
163,대전관저점,대전광역시,서구,대전광역시 서구 관저북로51번길 8-20 (관저동) 101호,both
164,대전배재대점,대전광역시,서구,대전 서구 도마2동 109-26번지,both
165,대전복수점(Cafe),대전광역시,서구,대전 서구 복수동 612 초록마을아파트2단지상가 112,both
166,대전정림점,대전광역시,서구,대전 서구 정림동  609번지,both
167,대전정림점,대전광역시,서구,대전광역시 서구 정림동로7번길 40 (정림동) 1층(정림동),both
168,대전탄방점,대전광역시,서구,"대전광역시 서구 계룡로571번길 17 (탄방동, 태양빌딩 탄방동 103호",both
169,도안사랑점,대전광역시,서구,대전광역시 서구 용소로12번길 22 (가수원동) 1층,both
170,대전중리행운점,대전광역시,대덕구,"대전광역시 대덕구 한밭대로 1141 (중리동, 진성빌딩) ",both
171,대전신탄진점,대전광역시,대덕구,대전 대덕구 신탄진동 121-23,both
172,대전송촌점,대전광역시,대덕구,대전 대덕구 송촌동 467-1,both
173,봉은사역점,서울특별시,강남구,"서울특별시 강남구 영동대로 611 (삼성동, Chan&ChanT; 1층,2층",both
174,역삼스타점,서울특별시,강남구,서울특별시 강남구 논현로 411 지상1층,both
175,강남세곡점,서울특별시,강남구,"서울특별시 강남구 헌릉로 569 (세곡동) 101(세곡동,강남리더스프라자)",both
176,논현중앙점,서울특별시,강남구,"서울특별시 강남구 언주로136길 10 (논현동,1층)",both
177,대청점,서울특별시,강남구,서울 강남구 일원동 687-2,both
178,신사점,서울특별시,강남구,서울 강남구 신사동  561-22,both
179,학동역점,서울특별시,강남구,서울특별시 강남구 학동로34길 23 (논현동) 1층,both
180,개포스타점,서울특별시,강남구,서울특별시 강남구 논현로12길 19-9 (개포동) ,both
181,압구정스타점,서울특별시,강남구,서울 강남구 신사동 634-16 ,both
182,개포2점,서울특별시,강남구,서울 강남구 개포동 141번지 개포주공1단지상가 가상가 101동 2호,both
183,개포동역점(올리브치킨),서울특별시,강남구,"서울특별시 강남구 개포로 512 (개포동, 개포종합상가 1층 108호",both
184,개포점,서울특별시,강남구,서울특별시 강남구 개포로 250 (개포동) ,both
185,대치도곡점,서울특별시,강남구,서울 강남구 대치1동 1023-19 1층,both
186,대치은마점,서울특별시,강남구,서울특별시 강남구 영동대로57길 16 ,both
187,대치점,서울특별시,강남구,서울 강남구 대치4동 923-4호 104호,both
188,삼성점,서울특별시,강남구,서울특별시 강남구 봉은사로61길 17 (삼성동) 1층(삼성동),both
189,압구정점(올리브치킨),서울특별시,강남구,"서울특별시 강남구 압구정로 309 B동 1층 110호(압구정동, 주구센터)",both
190,양재점,서울특별시,강남구,"서울 강남구 도곡1동 950-6, 102호",both
191,역삼점,서울특별시,강남구,서울 강남구 역삼동 836-26,both
192,일원삼성점,서울특별시,강남구,서울 강남구 수서동 747  삼성아파트상가,both
193,자곡행운점,서울특별시,강남구,"서울특별시 강남구 자곡로 191 (자곡동, 강남푸르지오 B05호",both
194,청담점,서울특별시,강남구,서울특별시 강남구 도산대로72길 28 (청담동) 지층(청담동),both
195,부산당감점,부산광역시,부산진구,부산광역시 부산진구 동평로 98 ,both
196,부산가야점,부산광역시,부산진구,부산 부산진구 개금동 523-19,both
197,부산개금점,부산광역시,부산진구,부산광역시 부산진구 개금본동로 77 (개금동) ,both
198,부산전포점(express),부산광역시,부산진구,부산 부산진구 전포동 202-25번지,both
199,부산초읍점,부산광역시,부산진구,부산 부산진구 연지동 375-14,both
200,신양정점,부산광역시,부산진구,부산광역시 부산진구 연수로 24 (양정동) 1층,both
201,부산마린시티점(프리미엄)(2명변),부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 39 (우동, 카이저빌 101호",both
202,부산좌동신시가지점,부산광역시,해운대구,부산광역시 해운대구 대천로 104 (좌동) 102호,both
203,부산해운대센텀점,부산광역시,해운대구,"부산광역시 해운대구 센텀동로 123 (재송동, 센텀스타 ",both
204,부산해운대점,부산광역시,해운대구,부산 해운대구 우동 1340 2층,both
205,"부산해운대비치점(명변,치킨앤비어)",부산광역시,해운대구,부산 해운대구 중동 1417-2 씨스타지하1층,both
206,부산마리나점,부산광역시,해운대구,부산 해운대구 우동 993-4 대우마리나2차상가 106,both
207,부산반송점,부산광역시,해운대구,부산 해운대구 반송2동 886 삼한5차상가 105,both
208,부산반여점,부산광역시,해운대구,"부산광역시 해운대구 반여로 112-1 (반여동, 산봉빌딩 ",both
209,부산송정점,부산광역시,해운대구,"부산광역시 해운대구 송정중앙로 35 (송정동, 비비큐) ",both
210,부산재송역점,부산광역시,해운대구,부산광역시 해운대구 해운대로76번길 16 (재송동) ,both
211,부산재송점,부산광역시,해운대구,부산 해운대구 반여동 1291-1369 1층,both
212,부산좌동신도시점,부산광역시,해운대구,부산 해운대구 중동 181-1 롯데캐슬마스터2  301-108,both
213,부산좌동점,부산광역시,해운대구,부산 해운대구 좌동 1317번지 경동플러스상가 206호,both
214,해운대중동점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로433번길 30-3 (중동,  103호",both
215,삼성라이온즈파크점,대구광역시,수성구,대구광역시 수성구 야구전설로1 (연호동) 06호 1층,both
216,대구만촌점,대구광역시,수성구,대구 수성구 만촌3동 869-19,both
217,대구매호점,대구광역시,수성구,"대구광역시 수성구 천을로 181 (매호동, 협화아파트) 상가112동 101호",both
218,대구메트로점,대구광역시,수성구,대구광역시 수성구 만촌로 165 (만촌동) ,both
219,대구범물점,대구광역시,수성구,대구광역시 수성구 지범로 271-1 (범물동) 1층,both
220,대구범어점,대구광역시,수성구,대구 수성구 범어4동 330 장원상가 108동105호,both
221,대구수성동아점,대구광역시,수성구,대구광역시 수성구 지범로23길 49 (지산동) ,both
222,대구수성점,대구광역시,수성구,대구 수성구 수성4가 1146-9,both
223,대구수성행복점,대구광역시,수성구,대구 수성구 수성동2가 231-2,both
224,대구신매점,대구광역시,수성구,대구 수성구 신매동 586-4,both
225,대구중동점,대구광역시,수성구,대구 수성구 중동 412-1,both
226,대구파동점(올리브치킨),대구광역시,수성구,대구광역시 수성구 용학로 12-1 (파동) 1층,both
227,대구푸른마을점,대구광역시,수성구,대구 수성구 범어동 674-2,both
228,대구황금점(4),대구광역시,수성구,대구 수성구 황금동 202-3번지,both
229,두산위브제니스점,대구광역시,수성구,"대구광역시 수성구 달구벌대로 2435 (범어동, 두산위 301동 B103-1호",both
230,두산점,대구광역시,수성구,대구광역시 수성구 들안로14길 71 (두산동) ,both
231,지산행복점,대구광역시,수성구,대구광역시 수성구 지산로3길 69 (지산동) ,both
232,지산행복점,대구광역시,수성구,대구광역시 수성구 지산로3길 69 (지산동) ,both
233,삼송신원점,경기도,고양시,"경기도 고양시 덕양구 권율대로 907 (신원동, KN빌딩) 1층",both
234,일산라페스타점,경기도,고양시,"경기도 고양시 일산동구 무궁화로 20-18 (장항동, 하 1층 107호",both
235,강선점,경기도,고양시,경기 고양시 일산서구 주엽동 83 강선마을 상가동1층,both
236,고양관산동점,경기도,고양시,경기도 고양시 덕양구 통일로768번길 19 (관산동) 1층 104호,both
237,고양성사점,경기도,고양시,"경기도 고양시 덕양구 호국로 859 (성사동, 대림e편한 가동1층 107호(일부)",both
238,고양원당점(cafe),경기도,고양시,경기 고양시 덕양구 성사동 720-1번지,both
239,고양원흥점,경기도,고양시,경기도 고양시 덕양구 삼원로 102 (원흥동) 상가-105(원흥동),both
240,고양점,경기도,고양시,"경기도 고양시 덕양구 혜음로 103 (고양동, 신성프라 104호",both
241,고양행신가람점,경기도,고양시,경기도 고양시 덕양구 행신로 351-9 (행신동) 1층,both
242,무원점,경기도,고양시,경기 고양시 덕양구 행신동 720,both
243,백석2점,경기도,고양시,경기도 고양시 일산동구 중앙로 1123 흰돌마을2단지아 백상가동 1층 140호,both
244,샘터행복점,경기도,고양시,"경기도 고양시 덕양구 중앙로557번길 7-20 (행신동,  1층 103호",both
245,일산가좌점,경기도,고양시,경기 고양시 일산서구 가좌동 393-4 1층일부,both
246,일산대화마을점,경기도,고양시,"경기 고양시 일산서구 대화동 1~1994 1580, 한라아파트상가동 107~108호",both
247,일산문촌점,경기도,고양시,"경기 고양시 일산서구 주엽동 18번지 자유프라자 108,109호",both
248,일산백마점(Cafe),경기도,고양시,경기 고양시 일산동구 마두동 908 외1필 정발빌딩 1층 101호,both
249,일산백석역점(2),경기도,고양시,경기 고양시 일산동구 백석동 1318번지 일산비잔티움1단지상가 106호,both
250,일산백송점,경기도,고양시,"경기도 고양시 일산동구 백석로 177 101(백석동, 백송마을임광상가)",both
251,일산식사지구점,경기도,고양시,경기도 고양시 일산동구 위시티4로 79 위시티일산블루 203,both
252,일산원마운트점,경기도,고양시,"경기도 고양시 일산서구 한류월드로 300 (대화동,원마운트1층,1251호)",both
253,일산중산행운점,경기도,고양시,"경기도 고양시 일산동구 탄중로 426 (중산동, 중산마 중산동,중산마을1층",both
254,일산탄현점(1명변),경기도,고양시,경기 고양시 일산서구 탄현동 1491-5번지 1층,both
255,일산하늘마을점,경기도,고양시,"경기도 고양시 일산동구 하늘마을로 76  101(중산동,하늘마을제상가동)",both
256,일산후곡점,경기도,고양시,"경기도 고양시 일산서구 강선로 141 (일산동, 후곡마 후곡마을 16단지 아파트 상가 119호",both
257,햇빛점,경기도,고양시,경기 고양시 덕양구 행신동 948-1,both
258,화정별빛마을점,경기도,고양시,경기 고양시 덕양구 화정2동 946,both
259,화정점,경기도,고양시,경기 고양시 덕양구 화정동 900-14,both
260,후곡행복점,경기도,고양시,"경기도 고양시 일산서구 킨텍스로 458 (일산동, 후곡 102호(일산동,후곡마을 상가동)",both
261,서울대글로벌공학관점,서울특별시,관악구,"서울특별시 관악구 관악로 1 서울대학교 39-218(신림동,글로벌공학교육센터)",both
262,서울대캠퍼스점(cafe직영),서울특별시,관악구,서울 관악구 신림동 산 56-1 번지 서울대공과대학 해동관지하1층,both
263,낙성대점,서울특별시,관악구,서울 관악구 봉천11동 1640-8,both
264,보라매공원점,서울특별시,관악구,서울특별시 관악구 보라매로3길 3 (봉천동) ,both
265,신림5점,서울특별시,관악구,서울특별시 관악구 관천로11길 152 (신림동) ,both
266,신림신원점(cafe),서울특별시,관악구,서울 관악구 신림동 1636-35 영신상가,both
267,신림중앙점,서울특별시,관악구,"서울특별시 관악구 호암로24길 68 (신림동, 지하1층) ",both
268,행운점,서울특별시,관악구,"서울특별시 관악구 봉천로 567 (봉천동, 1층) ",both
269,사당역점,서울특별시,관악구,서울 관악구 남현동 1061-59,both
270,난곡점,서울특별시,관악구,서울 관악구 신림동 1738-1 파로스프라자 B동 제지1층 ,both
271,봉천쑥고개점,서울특별시,관악구,서울 관악구 봉천4동 1584-5번지,both
272,봉천우성점,서울특별시,관악구,서울 관악구 봉천동 36-10 ,both
273,봉천중앙점,서울특별시,관악구,서울 관악구 봉천2동 1703  동아A상가 1층  A동 104호,both
274,서울대점,서울특별시,관악구,서울 관악구 봉천7동 1609-5 1층,both
275,신림3점,서울특별시,관악구,"서울특별시 관악구 남부순환로143길 26 (신림동,1층) ",both
276,신림점,서울특별시,관악구,"서울특별시 관악구 신림로 122 (신림동,1층)",both
277,세종시1호점(P-cafe),세종특별자치시,세종시,"세종특별자치시 누리로 59 (한솔동, 첫마을5단지) 101,102호",both
278,세종도담점,세종특별자치시,세종시,"세종특별자치시 보듬3로 8-20 (도담동, 세종한신휴시 1층 128,129호",both
279,세종어진점,세종특별자치시,세종시,"세종특별자치시 도움8로 81(어진동, 세종일번가) 1동 A-203호",both
280,본스PC카페 세종점(e-cafe),세종특별자치시,세종시,세종특별자치시 조치원읍 행복11길 12 3층 301호,both
281,세종고운점,세종특별자치시,세종시,세종특별자치시 마음로 272-9 (고운동) 강남빌딩 109호,both
282,세종금남점,세종특별자치시,세종시,세종특별자치시 금남면 용포로 45 1층 103호,both
283,세종비즈니스센터점,세종특별자치시,세종시,"세종특별자치시 가름로 232 (어진동, 세종비즈니스센 A138호 A139",both
284,세종새롬점(올리브카페),세종특별자치시,세종시,"세종특별자치시 새롬중앙로 62-15 (새롬동, 해피라움W 1층 132,135호",both
285,세종소담점,세종특별자치시,세종시,"세종특별자치시 소담1로 12 (소담동, 지엘플렉스1) 1층 109호",both
286,세종시청점,세종특별자치시,세종시,"세종특별자치시 호려울로 29 (보람동, 세종시드니) 1층105호,106호",both
287,세종아름점,세종특별자치시,세종시,"세종특별자치시 달빛로 109 (아름동, 범지기마을4단지 412동 101, 101-1호",both
